Id,TypeId,PhaseCreated,Spec Link,Panel Link,AssemblyName,Location,CurrentPhaseC,CurrentPhaseB,CurrentPhaseA,TotalEstimatedDemandCurrent,TotalConnectedCurrent,TotalDemandFactor,NumberofWires,NumberofPhases,SupplyFrom,Feed,Modifications,Enclosure,Mains,Mounting,ShortCircuitRating,Max#1PoleBreakers,PanelName,TotalEstimatedDemand,TotalConnected,ApparentLoadPhaseC,ApparentLoadPhaseB,ApparentLoadPhaseA,ElectricalData,IfcGUID,Comments,HostId,Level,Mark,Rack#,Row#,CablePath
471580,455409,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,Doctor 68,204.1722222,204.1722222,204.1722222,204.0211514,204.0211514,1,4,3,PP-2B,,,Type 1,100,Surface,,42,EP-2,73502,73502,24500.66667,24500.66667,24500.66667,208 V/3-0 VA,,,,378118,5,,,
471596,455409,86961,,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,Doctor 68,276.1722222,277.6722222,276.1722222,254.1229416,276.4675073,0.91917833,4,3,PP-2A,,,Type 1,100,Surface,,42,PP-2B,91552,99602,33140.66667,33320.66667,33140.66667,208 V/3-0 VA,,,,378118,6,,,
471705,454659,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,Doctor 68,13.62364621,14.07851986,8.873646209,14.70438967,11.76351173,1.25,4,3,MDP-2,,,Type 1,100,Surface,,42,LP-2,12225,9780,3598,3724,2458,480 V/3-0 VA,,,,378118,7,,,
503195,455409,86961,,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,,275.3805556,287.0344017,284.0344017,261.3259413,281.1723568,0.929415481,4,3,PP-3A,,,Type 1,100,Surface,,42,PP-3B,94147,101297,33045.66667,34305.66667,33945.66667,208 V/3-0 VA,,,,378119,8,,,
503251,455409,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,,213.8805556,213.8805556,213.8805556,213.7223013,213.7223013,1,4,3,PP-3B,,,Type 1,100,Surface,,42,EP-3,76997,76997,25665.66667,25665.66667,25665.66667,208 V/3-0 VA,,,,378119,9,,,
503257,454659,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,,6.844765343,10.44476534,12.52418773,12.01610248,9.612881982,1.25,4,3,MDP-3,,,Type 1,100,Surface,,42,LP-3,9990,7992,1896,2760,3336,480 V/3-0 VA,,,,378119,10,,,
532001,454659,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,,50.90252708,50.90252708,50.90252708,50.87899247,50.87899247,1,4,3,SWB,,,Type 1,100,Surface,,12,CTP,42300,42300,14100,14100,14100,480 V/3-0 VA,,,,378120,12,,,
532120,455409,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,,130.575,130.575,130.575,130.4783851,130.4783851,1,4,3,PP-3A,,,Type 1,100,Surface,,12,AHP,47007,47007,15669,15669,15669,208 V/3-0 VA,,,,378120,13,,,
581482,454655,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,Technology 28,,,,,,1,,,MDP-1,,,Type 1,100,Surface,,42,LP-1,0,0,0,0,0,480 V/3-0 VA,,,,,14,,,
581483,455409,86961,,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,Technology 28,0,0,28.5,9.492970772,9.492970772,1,4,3,PP-2A,,,Type 1,100,Surface,,42,PP-1B,3420,3420,0,0,3420,208 V/3-0 VA,,,,,15,,,
581484,455409,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,Technology 28,0,0,0,0,0,1,4,3,PP-1B,,,Type 1,100,Surface,,42,EP-1A,0,0,0,0,0,208 V/3-0 VA,,,,,16,,,
581485,455409,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,Technology 28,0,0,0,0,0,1,4,3,PP-1B,,,Type 1,100,Surface,,42,EP-1B,0,0,0,0,0,208 V/3-0 VA,,,,,17,,,
622023,619611,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,Power Riser 113,0,0,0,0,0,1,4,3,MDP-1,,,Type 1,100,Surface,,12,LP-1B,0,0,0,0,0,480 V/3-0 VA,,,,378117,4,,,
622026,619611,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,Power Riser 113,0,0,0,0,0,1,4,3,MDP-1,,,Type 1,100,Surface,,12,MP-1B,0,0,0,0,0,480 V/3-0 VA,,,,378117,19,,,
622027,620368,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,Power Riser 113,63.80769231,74.30769231,46.5,43.85641468,59.95560488,0.731481481,4,3,TP-1A,,,Type 1,100,Surface,,12,PP-1A,15800,21600,7380,8640,5580,208 V/3-0 VA,,,,378117,20,,,
622028,621990,86961,,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,Power Riser 113,63.80769231,74.30769231,46.5,43.85641468,59.95560488,0.731481481,4,3,MDP-1,,,Type 3R,,,,6,TP-1A,15800,21600,7380,8640,5580,480 V/3-0 VA,,,,378117,21,,,
624416,621242,86961,,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,,380.7466865,394.3590983,391.7703893,368.2258827,402.1882116,0.91555613,4,3,,,,Type 2,,,,3,T-SVC,306137.25,334373,105466.8322,108829.5932,108112.5208,480 V/3-0 VA,,,,378117,23,,,
625731,619611,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,EDP III 52,0,0,0,0,0,1,4,3,MDP-2,,,Type 1,100,Surface,,12,LP-2B,0,0,0,0,0,480 V/3-0 VA,,,,378118,24,,,
625733,619611,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,EDP III 52,0,0,0,0,0,1,4,3,MDP-2,,,Type 1,100,Surface,,12,MP-2B,0,0,0,0,0,480 V/3-0 VA,,,,378118,26,,,
625734,620368,86961,,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,EDP III 52,265.3129027,266.849167,295.0594046,259.3031336,286.3074433,0.905680728,4,3,TP-2A,,,Type 1,100,Surface,,12,PP-2A,93418.25,103147,31837.54832,31997.31981,35382.54832,208 V/3-0 VA,,,,378118,27,,,
625735,621990,86961,,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,EDP III 52,265.3129027,266.849167,292.1147246,259.3031336,286.3074433,0.905680728,4,3,MDP-2,,,Type 3R,,,,6,TP-2A,93418.25,103147,31837.54832,31997.31981,35029.18673,480 V/3-0 VA,,,,378118,28,,,
626004,619611,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,,0,0,0,0,0,1,4,3,MDP-3,,,Type 1,100,Surface,,12,LP-3B,0,0,0,0,0,480 V/3-0 VA,,,,378119,29,,,
626006,619611,86961,http://www.greenheck.com/media/pdf/catalogs/IAH_catalog.pdf,https://drive.google.com/open?id=0B-SIv_p4bIXLMHdYVFdjTXE5RTA,,,0,0,0,0,0,1,4,3,MDP-3,,,Type 1,100,Surface,,12,MP-3B,0,0,0,0,0,480 V/3-0 VA,,,,378119,31,,,
